CPU_Utilization_Pct,Memory_Usage_Pct,Clock_Speed_GHz,Ambient_Temp_C,Voltage_V,Current_Load_Amps,Power_Consumption_W,Fan_Speed_RPM,Airflow_CFM,CPU_Temperature_C
43.71,26.93,4.12,18.02,1.29,61.18,78.94,2415.27,28,46.93
95.56,24.56,3.24,29.52,1.26,141.19,178.39,5514.18,76.79,49.45
75.88,65.31,2.49,24.42,1.18,61,71.71,6793.21,84.15,38.1
63.88,92.46,3.84,26.4,1.25,95.75,119.36,6586.84,87.73,41.1
24.04,57.7,3.05,28.95,1.18,96.17,113.73,7024.38,76.34,40.25
24.04,23.86,3.49,23.2,1.33,122.82,163.22,7876.75,92.73,34.76
15.23,36.59,2.27,23.29,1.42,117.97,167.22,7974.91,109.79,33.93
87.96,38.36,3.58,20,1.39,111.65,155.57,4462.81,55.44,47.42
64.1,45.34,2.93,28.87,1.17,113.65,133.02,5012.57,58.12,49.45
73.73,23.27,2.84,25.77,1.25,126.05,158.16,4989.10,67.42,46.71
11.85,87.87,4.45,20.16,1.01,67.22,67.58,5852.32,73.23,31.17
97.29,58.67,3.08,24.72,1.44,147.64,211.88,3474.14,45.28,58.55
84.92,70.32,3.7,21.94,1.12,104.56,117.39,6635.49,91.33,38.86
29.11,25.04,3.57,19.77,1.22,122.15,149.09,2760.09,30.78,46.55
26.36,24.06,2.26,20.18,1.08,107.89,116.12,7707.19,94.37,30.33
26.51,63.99,3.87,24.71,1.34,137.54,184.18,2748.44,40.19,52.26
37.38,86.55,2.81,24.77,1.27,108.72,138.37,6455.99,88.08,35.6
57.23,59.64,4,27.48,1.18,59.56,70.43,4383.00,46.3,48.24
48.88,85.84,3.52,20.98,1.27,137.37,174.13,5803.09,60.59,41.88
36.21,80.82,2.79,28.99,1.08,60.23,65.32,3885.86,53.4,45.86
65.07,25.69,2.89,24.22,1.39,102.16,141.78,2718.15,35.93,54.19
22.55,35.15,3.83,20.45,1.13,70.18,79.52,7628.34,102.16,30.61
36.29,69.33,3.38,22.96,1.31,62.1,81.19,5060.53,63.62,34.07
42.97,53.26,3.67,29.08,1.45,62.22,90.21,3803.13,51.33,47.03
51.05,41.8,2.4,23.74,1.02,136.59,139.22,5746.98,83.86,38.05
80.67,51.4,3.97,28.5,1.19,84.58,100.97,3547.47,43.04,59.74
27.97,53.39,2.8,19.92,1.07,85.3,91.05,2242.71,33.63,42.33
56.28,88.29,3.55,28.97,1.45,118.53,172.37,6761.94,84.79,46.92
63.32,27.76,2.29,23.17,1.18,133.17,157.15,7975.19,89.11,40.4
14.18,40.98,2.8,29.23,1.11,131.94,146.02,7738.66,106.43,41.46
64.68,60.32,3.62,28.39,1.34,114.77,153.59,7278.50,97.03,43.96
25.35,72.37,2.69,25.92,1.27,121.78,154.85,6484.54,79.56,40.13
15.85,67.3,4.2,26.07,1.41,111.58,157.16,2971.69,41.11,47.96
95.4,90.62,3.65,20.54,1.38,133.18,183.33,2934.72,42.98,58.93
96.91,79.67,4.18,25.23,1.49,84.46,125.62,2898.06,29.9,69.44
82.76,61.78,2.99,24.59,1.05,73.8,77.14,4757.67,68.36,43.93
37.42,36.1,2.08,22.01,1.04,69.67,72.46,4856.02,59.49,34.56
18.79,53.82,3.44,24.07,1.45,110.36,160.43,5465.54,68.85,41.19
71.58,72,2.85,29.15,1.48,73.71,108.93,3360.32,34.21,60.29
49.61,82.85,3.12,18.06,1.2,63,75.81,2238.28,24.74,45.7
20.98,91.98,3.7,23.01,1.23,146.45,179.83,2604.57,35.19,50.88
54.57,65.41,3.75,22,1.18,87.8,103.99,2416.40,29.08,54.45
13.09,59.52,2.07,29.53,1.39,139.41,193.62,6756.87,79.33,41.53
91.84,21.33,3.92,29.69,1.39,120.44,166.86,2808.17,29.13,76.61
33.29,25.41,3.23,25.03,1.11,84.84,94.2,6502.74,88.67,39.26
69.63,31.71,3.39,24.6,1.19,64.21,76.54,2642.61,28.48,58.28
38.05,24.11,2.74,28.84,1.11,134.16,148.41,4975.01,59.37,45.26
56.81,50.06,3.05,18.08,1.02,139.16,142.4,3727.16,41.46,44.6
59.2,45.27,3.78,24.75,1.03,68.27,70.19,5908.58,77.4,39.12
26.64,67.8,3.94,18.3,1.07,112.85,121.13,2875.89,36.24,42.27
97.26,60.17,2.97,29.62,1.01,106.29,107.88,5531.68,61.06,52.16
79.76,64.7,3.73,21.84,1.21,142.83,173.06,5429.54,57.71,50.35
94.55,55.4,2.65,24.25,1.03,114.77,118.44,4417.72,55.07,47.38
90.53,40.83,4.08,23.01,1.42,77.07,109.72,4894.95,61.46,46.46
63.81,91.46,3.52,28.72,1.36,121.57,164.85,2881.86,30.83,65.63
